scenario,threshold,region,n_region_retained,n_region_samples_retained,n_region_baseline,n_region_samples_baseline,n_region_lost,n_region_samples_lost,prop_region_retained,prop_region_lost,prop_region_samples_retained,prop_region_samples_lost,prop_lost,loss_delta_from_global
baseline_25_150,150,Asia,178,9360,178,9360,0,0,1,0,1,0,0,0
baseline_25_150,150,Europe,397,33473,397,33473,0,0,1,0,1,0,0,0
baseline_25_150,150,Latin America,88,3917,88,3917,0,0,1,0,1,0,0,0
baseline_25_150,150,North America,558,26431,558,26431,0,0,1,0,1,0,0,0
baseline_25_150,150,Oceania,49,2202,49,2202,0,0,1,0,1,0,0,0
threshold_167_1000,1000,North America,37,2007,558,26431,521,24424,0.06630824372759857,0.9336917562724014,0.07593356286179108,0.9240664371382089,0.8062992125984252,0.12739254367397623
threshold_167_1000,1000,Latin America,12,595,88,3917,76,3322,0.13636363636363635,0.8636363636363636,0.15190196579014553,0.8480980342098545,0.8062992125984252,0.05733715103793846
threshold_167_1000,1000,Europe,123,11803,397,33473,274,21670,0.30982367758186397,0.690176322418136,0.35261255340124875,0.6473874465987512,0.8062992125984252,-0.1161228901802892
threshold_167_1000,1000,Asia,56,3042,178,9360,122,6318,0.3146067415730337,0.6853932584269663,0.325,0.675,0.8062992125984252,-0.12090595417145888
threshold_167_1000,1000,Oceania,18,738,49,2202,31,1464,0.3673469387755102,0.6326530612244898,0.335149863760218,0.6648501362397821,0.8062992125984252,-0.17364615137393535
threshold_50_300,300,Latin America,65,2934,88,3917,23,983,0.7386363636363636,0.26136363636363635,0.7490426346693898,0.25095736533061014,0.12992125984251968,0.13144237652111668
threshold_50_300,300,Oceania,39,1917,49,2202,10,285,0.7959183673469388,0.20408163265306123,0.8705722070844687,0.12942779291553133,0.12992125984251968,0.07416037281054155
threshold_50_300,300,Asia,152,8234,178,9360,26,1126,0.8539325842696629,0.14606741573033707,0.8797008547008547,0.1202991452991453,0.12992125984251968,0.0161461558878174
threshold_50_300,300,North America,483,23199,558,26431,75,3232,0.8655913978494624,0.13440860215053763,0.8777193447088646,0.12228065529113541,0.12992125984251968,0.00448734230801795
threshold_50_300,300,Europe,366,31562,397,33473,31,1911,0.9219143576826196,0.07808564231738035,0.9429092104083888,0.05709078959161115,0.12992125984251968,-0.05183561752513932
threshold_84_500,500,North America,190,9469,558,26431,368,16962,0.34050179211469533,0.6594982078853047,0.35825356588853996,0.64174643411146,0.5149606299212598,0.14453757796404487
threshold_84_500,500,Latin America,33,1525,88,3917,55,2392,0.375,0.625,0.3893285677814654,0.6106714322185346,0.5149606299212598,0.1100393700787402
threshold_84_500,500,Oceania,27,1524,49,2202,22,678,0.5510204081632653,0.4489795918367347,0.6920980926430518,0.3079019073569482,0.5149606299212598,-0.0659810380845251
threshold_84_500,500,Asia,106,5485,178,9360,72,3875,0.5955056179775281,0.4044943820224719,0.5860042735042735,0.41399572649572647,0.5149606299212598,-0.1104662478987879
threshold_84_500,500,Europe,260,23203,397,33473,137,10270,0.654911838790932,0.345088161209068,0.6931855525348789,0.30681444746512115,0.5149606299212598,-0.1698724687121918
