age,predictor,Asia,Europe,Latin America,North America,Oceania
500,climate,0.9999894627032381,0.8652321630804077,0.9999854864225483,0.6626506024096385,0.9200863930885529
500,human,1.0537296761888705e-5,0.13476783691959232,1.4513577451706069e-5,0.3373493975903614,0.07991360691144708
1000,climate,0.8723404255319149,0.9544364508393285,0.9999894292872168,0.9012584704743466,0.6677248677248677
1000,human,0.1276595744680851,0.04556354916067146,1.0570712783162968e-5,0.09874152952565345,0.3322751322751322
1500,climate,0.937424789410349,0.9804496578690127,0.8862690707350902,0.9303000968054211,0.6759371221281741
1500,human,0.06257521058965103,0.019550342130987292,0.11373092926490987,0.06969990319457889,0.3240628778718259
2000,climate,0.7911522633744856,0.9635036496350364,0.9803407601572739,0.9477250726040658,0.2634920634920635
2000,human,0.2088477366255144,0.03649635036496351,0.01965923984272608,0.05227492739593417,0.7365079365079364
2500,climate,0.9417989417989417,0.9507211538461537,0.9552925706771861,0.9244935543278084,0.7799607072691552
2500,human,0.0582010582010582,0.04927884615384615,0.044707429322813935,0.07550644567219153,0.2200392927308448
3000,climate,0.9461538461538461,0.9107981220657277,0.9532952776336273,0.9037620297462817,0.8018252933507171
3000,human,0.05384615384615385,0.08920187793427231,0.046704722366372596,0.09623797025371827,0.1981747066492829
3500,climate,0.9402985074626866,0.7187060478199719,0.929570670525808,0.9634615384615385,0.8479349186483105
3500,human,0.05970149253731344,0.2812939521800282,0.07042932947419199,0.03653846153846154,0.1520650813516896
4000,climate,0.9384816753926702,0.9324644549763034,0.8763169949610627,0.895112016293279,0.9045368620037807
4000,human,0.061518324607329845,0.06753554502369669,0.12368300503893724,0.10488798370672096,0.09546313799621929
4500,climate,0.8341232227488152,0.9665871121718378,0.9204257475924987,0.9143389199255121,0.9611021069692058
4500,human,0.16587677725118483,0.03341288782816229,0.07957425240750125,0.0856610800744879,0.03889789303079416
5000,climate,0.7687861271676301,0.9347826086956521,0.8784370477568741,0.937847866419295,0.83399209486166
5000,human,0.23121387283236994,0.06521739130434781,0.1215629522431259,0.06215213358070502,0.16600790513833993
5500,climate,0.9301075268817204,0.9931350114416475,0.9471316085489314,0.8841463414634146,0.9171511627906977
5500,human,0.06989247311827956,0.0068649885583524015,0.05286839145106862,0.11585365853658539,0.08284883720930233
6000,climate,0.749056603773585,0.8578371810449574,0.941923774954628,0.881628787878788,0.9999854653275388
6000,human,0.2509433962264151,0.14216281895504254,0.05807622504537204,0.11837121212121213,1.4534672461156087e-5
6500,climate,0.9539473684210527,0.6585365853658537,0.9999938650683124,0.9111969111969112,0.9999884527892288
6500,human,0.046052631578947366,0.34146341463414637,6.134931687535659e-6,0.0888030888030888,1.1547210771238207e-5
7000,climate,0.8320783132530121,0.796983758700696,0.9501557632398755,0.8857412653446648,0.9998485078018482
7000,human,0.16792168674698796,0.20301624129930396,0.049844236760124616,0.11425873465533523,1.5149219815179516e-4
7500,climate,0.8644578313253012,0.5395622895622896,0.9583333333333333,0.8859060402684563,0.9999828770055307
7500,human,0.1355421686746988,0.4604377104377104,0.041666666666666664,0.11409395973154363,1.7122994469272786e-5
8000,climate,0.9393370856785491,0.835820895522388,0.6957026713124274,0.9471577261809448,0.9999881937639461
8000,human,0.06066291432145091,0.16417910447761194,0.3042973286875726,0.05284227381905524,1.1806236053883661e-5
8500,climate,0.9670263788968825,0.8851612903225806,0.9292487235594458,0.9599666388657214,0.9971611071682043
8500,human,0.0329736211031175,0.11483870967741935,0.07075127644055434,0.040033361134278564,0.0028388928317955994
