age,predictor,min,med,max
500,climate,0.6626506024096385,0.9200863930885529,0.9999894627032381
500,human,1.0537296761888705e-5,0.07991360691144708,0.3373493975903614
1000,climate,0.6677248677248677,0.9012584704743466,0.9999894292872168
1000,human,1.0570712783162968e-5,0.09874152952565345,0.3322751322751322
1500,climate,0.6759371221281741,0.9303000968054211,0.9804496578690127
1500,human,0.019550342130987292,0.06969990319457889,0.3240628778718259
2000,climate,0.2634920634920635,0.9477250726040658,0.9803407601572739
2000,human,0.01965923984272608,0.05227492739593417,0.7365079365079364
2500,climate,0.7799607072691552,0.9417989417989417,0.9552925706771861
2500,human,0.044707429322813935,0.0582010582010582,0.2200392927308448
3000,climate,0.8018252933507171,0.9107981220657277,0.9532952776336273
3000,human,0.046704722366372596,0.08920187793427231,0.1981747066492829
3500,climate,0.7187060478199719,0.929570670525808,0.9634615384615385
3500,human,0.03653846153846154,0.07042932947419199,0.2812939521800282
4000,climate,0.8763169949610627,0.9045368620037807,0.9384816753926702
4000,human,0.061518324607329845,0.09546313799621929,0.12368300503893724
4500,climate,0.8341232227488152,0.9204257475924987,0.9665871121718378
4500,human,0.03341288782816229,0.07957425240750125,0.16587677725118483
5000,climate,0.7687861271676301,0.8784370477568741,0.937847866419295
5000,human,0.06215213358070502,0.1215629522431259,0.23121387283236994
5500,climate,0.8841463414634146,0.9301075268817204,0.9931350114416475
5500,human,0.0068649885583524015,0.06989247311827956,0.11585365853658539
6000,climate,0.749056603773585,0.881628787878788,0.9999854653275388
6000,human,1.4534672461156087e-5,0.11837121212121213,0.2509433962264151
6500,climate,0.6585365853658537,0.9539473684210527,0.9999938650683124
6500,human,6.134931687535659e-6,0.046052631578947366,0.34146341463414637
7000,climate,0.796983758700696,0.8857412653446648,0.9998485078018482
7000,human,1.5149219815179516e-4,0.11425873465533523,0.20301624129930396
7500,climate,0.5395622895622896,0.8859060402684563,0.9999828770055307
7500,human,1.7122994469272786e-5,0.11409395973154363,0.4604377104377104
8000,climate,0.6957026713124274,0.9393370856785491,0.9999881937639461
8000,human,1.1806236053883661e-5,0.06066291432145091,0.3042973286875726
8500,climate,0.8851612903225806,0.9599666388657214,0.9971611071682043
8500,human,0.0028388928317955994,0.040033361134278564,0.11483870967741935
